鶥	鹛	méi	babbler (bird)
白點噪鶥	白点噪鹛	bái diǎn zào méi	(bird species of China) white-speckled laughingthrush (Garrulax bieti)
眼紋噪鶥	眼纹噪鹛	yǎn wén zào méi	(bird species of China) spotted laughingthrush (Garrulax ocellatus)
矛紋草鶥	矛纹草鹛	máo wén cǎo méi	(bird species of China) Chinese babax (Babax lanceolatus)
短尾鷦鶥	短尾鹪鹛	duǎn wěi jiāo méi	(bird species of China) streaked wren-babbler (Napothera brevicaudata)
短尾鷯鶥	短尾鹩鹛	duǎn wěi liáo méi	(bird species of China) rufous-throated wren-babbler (Spelaeornis caudatus)
紅嘴鉤嘴鶥	红嘴钩嘴鹛	hóng zuǐ gōu zuǐ méi	(bird species of China) coral-billed scimitar babbler (Pomatorhinus ferruginosus)
紅翅藪鶥	红翅薮鹛	hóng chì sǒu méi	(bird species of China) scarlet-faced liocichla (Liocichla ripponi)
紅翅鶪鶥	红翅䴗鹛	hóng chì jú méi	(bird species of China) Blyth's shrike-babbler (Pteruthius aeralatus)
紅頂鶥	红顶鹛	hóng dǐng méi	(bird species of China) chestnut-capped babbler (Timalia pileata)
紅頭噪鶥	红头噪鹛	hóng tóu zào méi	(bird species of China) chestnut-crowned laughingthrush (Trochalopteron erythrocephalum)
紅頭穗鶥	红头穗鹛	hóng tóu suì méi	(bird species of China) rufous-capped babbler (Stachyridopsis ruficeps)
紅額穗鶥	红额穗鹛	hóng é suì méi	(bird species of China) rufous-fronted babbler (Stachyridopsis rufifrons)
紋喉鳳鶥	纹喉凤鹛	wén hóu fèng méi	(bird species of China) stripe-throated yuhina (Yuhina gularis)
紋胸斑翅鶥	纹胸斑翅鹛	wén xiōng bān chì méi	(bird species of China) streak-throated barwing (Actinodura waldeni)
紋胸鶥	纹胸鹛	wén xiōng méi	(bird species of China) pin-striped tit-babbler (Macronus gularis)
紋胸鷦鶥	纹胸鹪鹛	wén xiōng jiāo méi	(bird species of China) eyebrowed wren-babbler (Napothera epilepidota)
紋頭斑翅鶥	纹头斑翅鹛	wén tóu bān chì méi	(bird species of China) hoary-throated barwing (Actinodura nipalensis)
純色噪鶥	纯色噪鹛	chún sè zào méi	(bird species of China) scaly laughingthrush (Trochalopteron subunicolor)
細紋噪鶥	细纹噪鹛	xì wén zào méi	(bird species of China) streaked laughingthrush (Trochalopteron lineatum)
臺灣斑翅鶥	台湾斑翅鹛	Tái wān bān chì méi	(bird species of China) Taiwan barwing (Actinodura morrisoniana)
臺灣斑胸鉤嘴鶥	台湾斑胸钩嘴鹛	Tái wān bān xiōng gōu zuǐ méi	(bird species of China) black-necklaced scimitar babbler (Pomatorhinus erythrocnemis)
臺灣棕噪鶥	台湾棕噪鹛	Tái wān zōng zào méi	(bird species of China) rusty laughingthrush (Garrulax poecilorhynchus)
臺灣棕頸鉤嘴鶥	台湾棕颈钩嘴鹛	Tái wān zōng jǐng gōu zuǐ méi	(bird species of China) Taiwan scimitar babbler (Pomatorhinus musicus)
臺灣白喉噪鶥	台湾白喉噪鹛	Tái wān bái hóu zào méi	(bird species of China) rufous-crowned laughingthrush (Garrulax ruficeps)
臺灣雀鶥	台湾雀鹛	Tái wān què méi	(bird species of China) grey-cheeked fulvetta (Alcippe morrisonia)
臺灣鷦鶥	台湾鹪鹛	Tái wān jiāo méi	(bird species of China) Taiwan wren-babbler (Pnoepyga formosana)
華南斑胸鉤嘴鶥	华南斑胸钩嘴鹛	Huá nán bān xiōng gōu zuǐ méi	(bird species of China) grey-sided scimitar babbler (Pomatorhinus swinhoei)
藍翅噪鶥	蓝翅噪鹛	lán chì zào méi	(bird species of China) blue-winged laughingthrush (Trochalopteron squamatum)
