聖	圣	shèng	holy/sacred/saint/sage
聖潘克勒斯站	圣潘克勒斯站	shèng Pān kè lēi sī zhàn	Saint Pancras (London railway station)
聖火	圣火	shèng huǒ	sacred fire/Olympic flame
聖灰瞻禮日	圣灰瞻礼日	Shèng huī zhān lǐ rì	Ash Wednesday
聖灰節	圣灰节	shèng huī jié	Ash Wednesday (first day of Lent)
聖燭節	圣烛节	Shèng zhú jié	Candlemas (Christian Festival on 2nd February)
聖父	圣父	Shèng Fù	Holy Father/God the Father (in the Christian Trinity)
聖王	圣王	shèng wáng	sage ruler
聖皮埃爾和密克隆	圣皮埃尔和密克隆	Shèng Pí āi ěr hé Mì kè lóng	Saint-Pierre and Miquelon
聖盤	圣盘	shèng pán	Holy Grail
聖盧西亞	圣卢西亚	Shèng Lú xī yà	Saint Lucia
聖盧西亞島	圣卢西亚岛	Shèng Lú xī yà Dǎo	Saint Lucia
聖祖	圣祖	Shèng zǔ	Shengzu, temple name of the second Qing emperor, known as the Kangxi Emperor (1654-1722)/cf. 康熙[Kāng xī]
聖祖	圣祖	shèng zǔ	divine ancester/patron saint
聖神	圣神	Shèng shén	feudal term of praise for ruler, king or emperor/general term for saint in former times/term for God during the Taiping Heavenly Kingdom 太平天國|太平天国/Holy Spirit (in Christian Trinity)
聖神降臨	圣神降临	Shèng shén jiàng lín	Whit Sunday (Christian Festival celebrating the Holy Spirit)
聖神降臨週	圣神降临周	Shèng shén jiàng lín zhōu	Whitsuntide
聖禮	圣礼	shèng lǐ	Holy sacrament/Christian rite (esp. Protestant)/also called 聖事|圣事 by Catholics
聖約	圣约	shèng yuē	covenant
聖約瑟夫	圣约瑟夫	Shèng Yuē sè fū	Saint Joseph
聖約翰	圣约翰	Shèng Yuē hàn	Saint John
聖約翰斯	圣约翰斯	Shèng Yuē hàn sī	St John's, capital of Labrador and Newfoundland province, Canada
聖納帕	圣纳帕	Shèng nà pà	Agia Napa, Cyprus/Ayia Napa, Cyprus
聖索非亞	圣索非亚	Shèng Suǒ fēi yà	Hagia Sophia (Greek: Holy wisdom)
聖索非亞大教堂	圣索非亚大教堂	Shèng Suǒ fēi yà dà jiào táng	Hagia Sophia (the main cathedral of Constantinople, subsequently the major mosque of Istanbul)
聖經	圣经	Shèng jīng	Holy Bible/the Confucian classics/CL:本[běn],部[bù]
聖經外傳	圣经外传	Shèng jīng Wài zhuàn	Apocrypha/biography external to the classics
聖經段落	圣经段落	shèng jīng duàn luò	Bible passage
聖經賢傳	圣经贤传	shèng jīng xián zhuàn	lit. holy scripture and biography of sage (idiom); refers to Confucian canonical texts
聖者	圣者	shèng zhě	holy one/saint
聖職	圣职	shèng zhí	priesthood
聖胎	圣胎	shèng tāi	immortal body (of born again Daoist)
聖胡安	圣胡安	Shèng Hú ān	San Juan, capital of Puerto Rico
聖荷西	圣荷西	Shèng Hé xī	San Jose
聖菲	圣菲	Shèng Fēi	Santa Fe
聖薩爾瓦多	圣萨尔瓦多	Shèng Sà ěr wǎ duō	San Salvador, capital of El Salvador
聖藥	圣药	shèng yào	panacea
聖訓	圣训	shèng xùn	sage's instructions/imperial edict
聖詩	圣诗	shèng shī	hymn
聖誕	圣诞	Shèng dàn	Christmas/birthday of reigning Emperor/Confucius' birthday
聖誕前夕	圣诞前夕	Shèng dàn qián xī	Christmas eve
聖誕卡	圣诞卡	Shèng dàn kǎ	Christmas card
聖誕島	圣诞岛	Shèng dàn Dǎo	Christmas Island, Australia
聖誕快樂	圣诞快乐	Shèng dàn kuài lè	Merry Christmas
聖誕樹	圣诞树	Shèng dàn shù	Christmas tree
聖誕節	圣诞节	Shèng dàn jié	Christmas time/Christmas season/Christmas
聖誕紅	圣诞红	shèng dàn hóng	poinsettia (Euphorbia pulcherrima)
聖誕老人	圣诞老人	Shèng dàn Lǎo rén	Father Christmas/Santa Claus
聖誕花	圣诞花	shèng dàn huā	poinsettia (Euphorbia pulcherrima)
聖誕頌	圣诞颂	Shèng dàn Sòng	A Christmas Carol by Charles Dickens
聖諭	圣谕	shèng yù	imperial edict/see also 上諭|上谕[shàng yù]
聖賢	圣贤	shèng xián	a sage/wise and holy man/virtuous ruler/Buddhist lama/wine
聖賢孔子鳥	圣贤孔子鸟	shèng xián Kǒng zǐ niǎo	Confuciusornis sanctus (Jurassic fossil bird)
