飛	飞	fēi	to fly
飛行員	飞行员	fēi xíng yuán	pilot/aviator
飛行甲板	飞行甲板	fēi xíng jiǎ bǎn	flight deck
飛行記錄	飞行记录	fēi xíng jì lù	flight record
飛行記錄儀	飞行记录仪	fēi xíng jì lù yí	flight recorder/black box
飛行記錄器	飞行记录器	fēi xíng jì lù qì	flight recorder/black box
飛行雲	飞行云	fēi xíng yún	contrail
飛觥走斝	飞觥走斝	fēi gōng zǒu jiǎ	to drink one's fill (idiom)
飛賊	飞贼	fēi zéi	cat burglar/burglar who gains entrance by scaling walls/intruding enemy airman/air marauder
飛越	飞越	fēi yuè	to fly across/to fly over/to fly past/(literary) (of one's spirits) to soar
飛跑	飞跑	fēi pǎo	to run like the wind/to rush/to gallop
飛躍	飞跃	fēi yuè	to leap
飛躍道	飞跃道	fēi yuè dào	parkour (HK)
飛身	飞身	fēi shēn	to move quickly/to vault/flying tackle
飛身翻騰	飞身翻腾	fēi shēn fān téng	flying somersault
飛輪	飞轮	fēi lún	flywheel/sprocket wheel
飛輪海	飞轮海	Fēi lún hǎi	Fahrenheit, Taiwan pop group, from 2005
飛轉	飞转	fēi zhuàn	to spin rapidly/to whirl around/(of time) to fly by
飛逝	飞逝	fēi shì	(of time) to pass quickly/to be fleeting
飛速	飞速	fēi sù	flying speed/rapid (growth)
飛過	飞过	fēi guò	to fly over/to fly past
飛針走線	飞针走线	fēi zhēn zǒu xiàn	flying needle and running seam (idiom); skillful needlework
飛鏢	飞镖	fēi biāo	darts (game)/dart (weapon shaped like a spearhead)
飛雪	飞雪	Fēi xuě	Flying Snow, a character in "Hero"
飛馬	飞马	fēi mǎ	at the gallop
飛馬座	飞马座	Fēi mǎ zuò	Pegasus (constellation)
飛馳	飞驰	fēi chí	to speed/to rush
飛魚	飞鱼	Fēi yú	Exocet (missile)
飛魚	飞鱼	fēi yú	flying fish
飛魚座	飞鱼座	Fēi yú zuò	Volans (constellation)
飛魚族	飞鱼族	fēi yú zú	"flying fish family", family who sacrifice everything to send their children abroad to study
飛鳥	飞鸟	fēi niǎo	bird
飛鳥時代	飞鸟时代	Fēi niǎo Shí dài	Asuka Period in Japanese history (538-710 AD)
飛鴻踏雪	飞鸿踏雪	fēi hóng tà xuě	see 雪泥鴻爪|雪泥鸿爪[xuě ní hóng zhǎo]
飛鴻雪爪	飞鸿雪爪	fēi hóng xuě zhuǎ	see 雪泥鴻爪|雪泥鸿爪[xuě ní hóng zhǎo]
