爾	尔	ěr	thus/so/like that/you/thou
穆爾西	穆尔西	Mù ěr xī	Morsi, Mursi or Morsy (name)/Mohamed Morsi (1951-), Egyptian Muslim Brotherhood politician, president of Egypt 2012-2013
穆索爾斯基	穆索尔斯基	Mù suǒ ěr sī jī	Modest Mussorgsky (1839-1881), Russian composer, composer of Pictures at an Exhibition
笛卡爾	笛卡尔	Dí kǎ ěr	René Descartes (1596-1650) French philosopher
第納爾	第纳尔	dì nà ěr	dinar (currency) (loanword)
米哈伊爾·普羅霍羅夫	米哈伊尔·普罗霍罗夫	Mǐ hā yī ěr · Pǔ luó huò luó fū	Mikhail Prokhorov (1965-), Russian billionaire and owner of the Brooklyn Nets (NBA team)
米德爾伯里	米德尔伯里	Mǐ dé ěr bó lǐ	Middlebury (College)
米格爾·德·塞萬提斯·薩維德拉	米格尔·德·塞万提斯·萨维德拉	Mǐ gé ěr · dé · Sāi wàn tí sī · Sà wéi dé lā	Miguel de Cervantes Saavedra (1547-1616), Spanish novelist, poet and playwright, author of Don Quixote 堂吉訶德|堂吉诃德[Táng jí hē dé]
米歇爾	米歇尔	Mǐ xiē ěr	Michel or Mitchell (name)/George Mitchell (1933-), US Democratic party politician and diplomat, influential in brokering Northern Ireland peace deal in 1990s, US Middle East special envoy from 2009
米爾斯	米尔斯	Mǐ ěr sī	Mills (name)
米爾頓	米尔顿	Mǐ ěr dùn	Milton (name)/John Milton (1608-1674), English republican writer and poet, author of Paradise Lost
米納爾迪	米纳尔迪	mǐ nà ěr dí	Minardi, Formula 1 racing team
納什維爾	纳什维尔	Nà shí wéi ěr	Nashville, capital of Tennessee
納扎爾巴耶夫	纳扎尔巴耶夫	Nà zhā ěr bā yē fū	Nursultan Nazarbayev (1940-), president of Kazakhstan
納撒尼爾·霍桑	纳撒尼尔·霍桑	Nà sā ní ěr · Huò sāng	Nathaniel Hawthorne (1804-1864) American novelist and short story writer
納爾遜	纳尔逊	Nà ěr xùn	Horatio Nelson (1758-1805), British naval hero
納瓦特爾語	纳瓦特尔语	Nà wǎ tè ěr yǔ	Nahuatl (language)
納皮爾	纳皮尔	Nà pí ěr	Napier (name)/John Napier (1550-1617), Scottish mathematician, inventor of logarithms/Napier, city in New Zealand
納賽爾	纳赛尔	Nà sài ěr	Nasr or Nasser (Arab name)/Gamal Abdel Nasser (1918-1970), Egyptian President
納達爾	纳达尔	Nà dá ěr	Nadal (name)/Rafael Nadal (1986-), Spanish tennis player
紐卡斯爾	纽卡斯尔	Niǔ kǎ sī ěr	Newcastle (place name)
索爾	索尔	Suǒ ěr	Thor (Norse god of thunder)
索爾仁尼琴	索尔仁尼琴	Suǒ ěr rén ní qín	Alexandr Solzhenitsyn (1918-2008), Russian writer, prominent Soviet dissident, author of the Gulag Archipelago
索爾茲伯里平原	索尔兹伯里平原	Suǒ ěr zī bó lǐ píng yuán	Salisbury plain
索爾茲伯里石環	索尔兹伯里石环	Suǒ ěr zī bó lǐ shí huán	Stonehenge/Salisbury stone circle
索緒爾	索绪尔	Suǒ xù ěr	Saussure (name)
維吉爾	维吉尔	Wéi jí ěr	Virgil or Vergilius (70-19 BC), Roman poet and author of the Aeneid 埃涅阿斯紀|埃涅阿斯纪[Āi niè ā sī Jì]
維吾爾	维吾尔	Wéi wú ěr	Uighur ethnic group of Xinjiang
維吾爾人	维吾尔人	Wéi wú ěr rén	Uighur person or people
維吾爾族	维吾尔族	Wéi wú ěr zú	Uighur (Uyghur) ethnic group of Xinjiang
維吾爾語	维吾尔语	Wéi wú ěr yǔ	Uighur language
維爾容	维尔容	Wéi ěr róng	(Johannes Lodewikus) Viljoen (South African ambassador to Taiwan)
維爾斯特拉斯	维尔斯特拉斯	Wéi ěr sī tè lā sī	Karl Weierstrass (1815-1897), German mathematician
維爾紐斯	维尔纽斯	Wéi ěr niǔ sī	Vilnius, capital of Lithuania
羅伯斯庇爾	罗伯斯庇尔	Luó bó sī bì ěr	Robespierre (name)/Maximilien François Marie Isidore de Robespierre (1758-1794), French revolutionary leader, enthusiastic advocate of reign of terror 1791-1794
羅潔愛爾之	罗洁爱尔之	Luó jié ài ěr zhī	Raziel, archangel in Judaism
羅爾定理	罗尔定理	Luó ěr dìng lǐ	Rolle's theorem (in calculus)
羅爾斯·羅伊斯	罗尔斯·罗伊斯	Luó ěr sī · Luó yī sī	Rolls-Royce (UK company)/also written 勞斯萊斯|劳斯莱斯[Láo sī Lái sī]
羅納爾多	罗纳尔多	Luó nà ěr duō	Ronaldo (name)/Cristiano Ronaldo (1985-), Portuguese soccer player
美尼爾氏綜合症	美尼尔氏综合症	Měi ní ěr shì zōng hé zhèng	Meniere's disease (loss of balance after stroke)
美尼爾病	美尼尔病	Měi ní ěr bìng	Meniere's disease (loss of balance after stroke)
美屬維爾京群島	美属维尔京群岛	Měi shǔ Wéi ěr jīng Qún dǎo	United States Virgin Islands (USVI)
聖皮埃爾和密克隆	圣皮埃尔和密克隆	Shèng Pí āi ěr hé Mì kè lóng	Saint-Pierre and Miquelon
聖薩爾瓦多	圣萨尔瓦多	Shèng Sà ěr wǎ duō	San Salvador, capital of El Salvador
職業高爾夫球協會	职业高尔夫球协会	Zhí yè Gāo ěr fū qiú Xié huì	Professional Golfer's Association (PGA)
艾彌爾	艾弥尔	Ài mí ěr	Emile (name)
艾森豪威爾	艾森豪威尔	Ài sēn háo wēi ěr	Dwight D. Eisenhower (1890-1969), US army general and politician, Supreme Allied Commander in Europe during World War II, US President 1953-1961
艾爾伯塔	艾尔伯塔	Ài ěr bó tǎ	Alberta province of Canada, capital Edmonton 埃德蒙頓|埃德蒙顿[Āi dé méng dùn]/also written 阿爾伯塔|阿尔伯塔[Ā ěr bó tǎ]
艾爾米塔什	艾尔米塔什	Ài ěr mǐ tǎ shí	Ermitazh or Hermitage museum in St Peterburg
艾爾米塔奇	艾尔米塔奇	Ài ěr mǐ tǎ jī	Ermitazh or Hermitage museum in St Peterburg
艾瑪紐埃爾	艾玛纽埃尔	Ài mǎ niǔ āi ěr	Emmanuel or Emmanuelle (name)
艾菲爾鐵塔	艾菲尔铁塔	Ài fēi ěr Tiě tǎ	Eiffel Tower
若爾蓋	若尔盖	Ruò ěr gài	Zoigê county (Tibetan: mdzod dge rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[Ā bà Zàng zú Qiāng zú zì zhì zhōu], northwest Sichuan
若爾蓋縣	若尔盖县	Ruò ěr gài xiàn	Zoigê county (Tibetan: mdzod dge rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[Ā bà Zàng zú Qiāng zú zì zhì zhōu], northwest Sichuan
英代爾	英代尔	yīng dài ěr	Intel
英屬維爾京群島	英属维尔京群岛	Yīng shǔ Wéi ěr jīng Qún dǎo	British Virgin Islands
英特爾	英特尔	Yīng tè ěr	Intel
荷爾蒙	荷尔蒙	hé ěr méng	hormone (loanword)/see 激素[jī sù]
莞爾	莞尔	wǎn ěr	(literary) to smile
莞爾一笑	莞尔一笑	wǎn ěr yī xiào	(literary) to smile
莫力達瓦達斡爾族自治旗	莫力达瓦达斡尔族自治旗	Mò lì Dá wǎ Dá wò ěr zú Zì zhì qí	Morin Dawa Daur Autonomous Banner in Hulunbuir 呼倫貝爾|呼伦贝尔[Hū lún bèi ěr], Inner Mongolia
莫爾斯	莫尔斯	Mò ěr sī	Morse (name)
莫爾斯電碼	莫尔斯电码	Mò ěr sī diàn mǎ	Morse code
莫爾茲比港	莫尔兹比港	Mò ěr zī bǐ gǎng	Port Moresby, capital of Papua New Guinea
華爾茲	华尔兹	huá ěr zī	waltz (dance) (loanword)
華爾街	华尔街	Huá ěr Jiē	Wall Street, New York/by extension, American big business
華爾街日報	华尔街日报	Huá ěr jiē Rì bào	Wall Street Journal
菲德爾	菲德尔	Fēi dé ěr	Fidel (name)
菲捨爾	菲舍尔	Fēi shě ěr	Fisher (name)
菲爾普斯	菲尔普斯	Fēi ěr pǔ sī	Phelps (name)/Michael Phelps (1985-), US swimmer and multiple Olympic gold medallist
菲爾特	菲尔特	Fēi ěr tè	Fürth (city in Germany)
菲爾茲	菲尔兹	Fēi ěr zī	Fields (name)
菲爾茲獎	菲尔兹奖	Fēi ěr zī Jiǎng	Fields Medal (for mathematics, approximate equivalent to Nobel Prize)
萊伊爾	莱伊尔	Lái yī ěr	Lyell (name)/Sir Charles Lyell (1797-1875), Scottish geologist
萊旺厄爾	莱旺厄尔	Lái wàng è ěr	Levanger (city in Trøndelag, Norway)
萊賽爾	莱赛尔	lái sài ěr	lyocell (textiles) (loanword)
萍卡菲爾特	萍卡菲尔特	Píng kǎ fēi ěr tè	Pinkafeld (Hungarian Pinkafő) Austrian town on the border with Hungary
葉爾羌河	叶尔羌河	Yè ěr qiāng Hé	Yarkant River in Xinjiang
葛瑞格爾	葛瑞格尔	Gě ruì gé ěr	Gregoire (name)
蒙代爾	蒙代尔	Méng dài ěr	Walter Mondale (1928-), US democratic politician, US vice-president 1977-1981 and ambassador to Japan 1993-1996
蒙特利爾	蒙特利尔	Méng tè lì ěr	Montreal, city in Quebec, Canada
蓋爾	盖尔	Gài ěr	Gaelic/Geier or Gayer (name)
蓋爾語	盖尔语	Gài ěr yǔ	Gaelic (language)
薩德爾	萨德尔	Sà dé ěr	Sadr (name)/Moqtada Sadr (c. 1973-), Iraqi Shia clergyman and militia leader
薩德爾市	萨德尔市	Sà dé ěr shì	Sadr city (Shia township in East Bagdad)
薩爾	萨尔	Sà ěr	Saarland
薩爾圖	萨尔图	Sà ěr tú	Sa'ertu district of Daqing city 大慶|大庆[Dà qìng], Heilongjiang
薩爾圖區	萨尔图区	Sà ěr tú qū	Sa'ertu district of Daqing city 大慶|大庆[Dà qìng], Heilongjiang
薩爾州	萨尔州	Sà ěr zhōu	Saarland, state of Germany, capital Saarbrücken 薩爾布呂肯|萨尔布吕肯[Sà ěr bù lǚ kěn]
薩爾布呂肯	萨尔布吕肯	Sà ěr bù lǚ kěn	Saarbrücken, capital of Saarland, Germany
薩爾普斯堡	萨尔普斯堡	Sà ěr pǔ sī bǎo	Sarpsborg (city in Østfold, Norway)
薩爾溫江	萨尔温江	Sà ěr wēn jiāng	Salween river, flowing from Tibet into Myanmar
薩爾滸之戰	萨尔浒之战	Sà ěr hǔ zhī zhàn	Battle of Sarhu in 1619, in which the Manchus under Nurhaci 努爾哈赤|努尔哈赤 crushed four Ming armies
薩爾瓦多	萨尔瓦多	Sà ěr wǎ duō	El Salvador
薩爾科奇	萨尔科奇	Sà ěr kē qí	Sarkozy (name)/Nicolas Sarkozy (1955-), president of France 2007-2012
薩爾科齊	萨尔科齐	Sà ěr kē qí	Nicolas Sarkozy (1955-), French UMP politician, President 2007-2012/also written 薩科齊|萨科齐[Sà kē qí]
薩爾茨堡	萨尔茨堡	Sà ěr cí bǎo	Salzburg
薩爾達	萨尔达	Sà ěr dá	Zelda (in Legend of Zelda video game) (Tw, HK, Macau)
蘇必利爾湖	苏必利尔湖	Sū bì lì ěr Hú	Lake Superior, one of the Great Lakes 五大湖[Wǔ dà hú]
蘇爾	苏尔	Sū ěr	Sol (goddess)
蘇珊·波伊爾	苏珊·波伊尔	Sū shān · Bō yī ěr	Susan Boyle (1961-), competitor in UK reality TV competition
蘇美爾	苏美尔	Sū měi ěr	Sumer (Šumer), one of the early civilizations of the Ancient Near East
西科爾斯基	西科尔斯基	Xī kē ěr sī jī	Sikorski (name)/Radosław Sikorski (1950-), Polish conservative politician, foreign minister of Poland from 2007
西里爾	西里尔	Xī lǐ ěr	Cyril (name)/Saint Cyril, 9th century Christian missionary/Cyrillic
西里爾字母	西里尔字母	Xī lǐ ěr zì mǔ	Cyrillic alphabet/Cyrillic letters
詹江布爾	詹江布尔	Zhān jiāng bù ěr	Janjanbureh river and city in Gambia
誇休可爾症	夸休可尔症	kuā xiū kě ěr zhèng	kwashiorkor (medicine)
諾貝爾	诺贝尔	Nuò bèi ěr	Nobel (Prize)
諾貝爾和平獎	诺贝尔和平奖	Nuò bèi ěr Hé píng jiǎng	Nobel Peace Prize
諾貝爾文學獎	诺贝尔文学奖	Nuò bèi ěr Wén xué Jiǎng	Nobel Prize in Literature
諾貝爾物理學獎	诺贝尔物理学奖	Nuò bèi ěr Wù lǐ xué Jiǎng	Nobel Prize in Physics
諾貝爾獎	诺贝尔奖	Nuò bèi ěr Jiǎng	Nobel Prize
謝爾巴人	谢尔巴人	Xiè ěr bā rén	Sherpa
謝爾蓋	谢尔盖	Xiè ěr gài	Sergei (name)
豪伊杜·比豪爾	豪伊杜·比豪尔	Háo yī dù · Bǐ háo ěr	Hajdú-Bihar province of east Hungary on the border with Romania
豪伊杜·比豪爾州	豪伊杜·比豪尔州	Háo yī dù · Bì háo ěr zhōu	Hajdú-Bihar county in east Hungary on the border with Romania, capital Debrecen 德布勒森
貝克勒爾	贝克勒尔	bèi kè lè ěr	becquerel (unit of radioactivity, symbol Bq)/abbr. to 貝克|贝克[bèi kè]
貝克爾	贝克尔	Bèi kè ěr	Baker or Becker (name)
貝加爾湖	贝加尔湖	Bèi jiā ěr Hú	Lake Baikal
貝娜齊爾·布托	贝娜齐尔·布托	Bèi nà qí ěr · Bù tuō	Benazir Bhutto (1953-2007), Pakistani politician, daughter of executed former prime minister Zulfikar Ali Bhutto and herself prime minister 1993-1996
貝爾	贝尔	Bèi ěr	Bell (person name)
貝爾墨邦	贝尔墨邦	Bèi ěr mò bāng	Belmopan, capital of Belize (Tw)
貝爾實驗室	贝尔实验室	Bèi ěr Shí yàn shì	Bell Labs
貝爾格勒	贝尔格勒	Bèi ěr gé lè	Belgrade, capital of Serbia (Tw)
貝爾格萊德	贝尔格莱德	Bèi ěr gé lái dé	Belgrade, capital of Serbia
貝爾法斯特	贝尔法斯特	Bèi ěr fǎ sī tè	Belfast, capital of Northern Ireland
貝爾湖	贝尔湖	Bèi ěr Hú	Buir Lake of Inner Mongolia
貝爾莫潘	贝尔莫潘	Bèi ěr mò pān	Belmopan, capital of Belize
費奧多爾	费奥多尔	Fèi ào duō ěr	Theodor of Fyodor (name)
費拉德爾菲亞	费拉德尔菲亚	Fèi lā dé ěr fēi yà	Philadelphia, Pennsylvania/abbr. to 費城|费城[Fèi chéng]
費爾巴哈	费尔巴哈	Fèi ěr bā hā	Ludwig Feuerbach (1804-1872), materialist philosopher
費爾干納	费尔干纳	Fèi ěr gàn nà	the Ferghana valley (in Uzbekistan, central Asia)
費爾幹納盆地	费尔干纳盆地	Fèi ěr gàn nà Pén dì	the Ferghana Valley in modern Uzbekistan
費爾馬	费尔马	Fèi ěr mǎ	Pierre de Fermat (1601-1665), French mathematician
費爾馬大定理	费尔马大定理	Fèi ěr mǎ dà dìng lǐ	Fermat's last theorem
賀爾蒙	贺尔蒙	hè ěr méng	hormone (loanword)
赫曼·麥爾維爾	赫曼·麦尔维尔	Hè màn · Mài ěr wéi ěr	Herman Melville (1819-1891), US novelist, author of Moby Dick 白鯨|白鲸[bái jīng]
赫爾	赫尔	Hè ěr	Hull (name)/Kingston upon Hull
赫爾墨斯	赫尔墨斯	Hè ěr mò sī	Hermes (Greek god)
赫爾曼	赫尔曼	Hè ěr màn	Herman or Hermann (name)
赫爾曼德	赫尔曼德	Hè ěr màn dé	Helmand (name)/Helmand province of south Afghanistan, capital Lashkar Gah
赫爾穆特	赫尔穆特	Hè ěr mù tè	Helmut (name)
赫爾穆特·科爾	赫尔穆特·科尔	Hè ěr mù tè · Kē ěr	Helmut Kohl (1930-), German CDU politician, Chancellor 1982-1998
赫爾辛基	赫尔辛基	Hè ěr xīn jī	Helsinki (Swedish Helsingfors), capital of Finland
趙爾巽	赵尔巽	Zhào Ěr xùn	Zhao Erxun (1844-1927), modern historian, compiled the Draft History of the Qing dynasty 清史稿
路易·皮埃爾·阿爾都塞	路易·皮埃尔·阿尔都塞	Lù yì · Pí āi ěr · Ā ěr dōu sāi	Louis Pierre Althusser (1918-1990), Marxist philosopher
路易斯·伊納西奧·盧拉·達席爾瓦	路易斯·伊纳西奥·卢拉·达席尔瓦	Lù yì sī · Yī nà xī ào · Lú lā · Dá xí ěr wǎ	Luiz Inácio Lula da Silva, the thirty-fifth president of Brazil/Lula
車爾尼雪夫斯基	车尔尼雪夫斯基	Chē ěr ní xuě fū sī jī	Nikolai Chernyshevsky
道爾頓	道尔顿	Dào ěr dùn	Dalton (name)/John Dalton (1766-1844), British scientist who contributed to atomic theory
達喀爾	达喀尔	Dá kā ěr	Dakar, capital of Senegal
達斡爾	达斡尔	Dá wò ěr	Daur ethnic group of Inner Mongolia and Heilongjiang
達斡爾語	达斡尔语	Dá wò ěr yǔ	Daur language (of Daur ethnic group of Inner Mongolia and Heilongjiang)
達朗貝爾	达朗贝尔	Dá lǎng bèi ěr	D'Alembert (1717-1783), French mathematician
達爾富爾	达尔富尔	Dá ěr fù ěr	Darfur, region of west Sudan
達爾文	达尔文	Dá ěr wén	Charles Darwin (1809-1882), British biologist and author of "On the Origin of Species" 物種起源|物种起源[Wǔ zhǒng Qǐ yuán]/Darwin, capital of the Northern Territory (Australia) 北領地|北领地[Běi Lǐng dì]
達爾文主義	达尔文主义	Dá ěr wén zhǔ yì	Darwinism
達爾文學徒	达尔文学徒	Dá ěr wén xué tú	Darwinian
達爾文學說	达尔文学说	Dá ěr wén xué shuō	Darwinism
達爾文港	达尔文港	Dá ěr wén gǎng	Darwin, capital of the Northern Territory, Australia
達爾福爾	达尔福尔	Dá ěr fú ěr	Darfur (western province of Sudan)
達爾罕茂明安聯合旗	达尔罕茂明安联合旗	Dá ěr hǎn Mào míng ān lián hé qí	Darhan Muming'an united banner in Baotou 包頭|包头[Bāo tóu], Inner Mongolia
達爾馬提亞	达尔马提亚	Dá ěr mǎ tí yà	Dalmatia, Croatian region on the eastern coast of Adriatic Sea
達達尼爾海峽	达达尼尔海峡	Dá dá ní ěr Hǎi xiá	Dardanelles Strait/Turkish: Çanakkale Boğazı
邁克爾	迈克尔	Mài kè ěr	Michael (name)
邁克爾·傑克遜	迈克尔·杰克逊	Mài kè ěr · Jié kè xùn	Michael Jackson (1958-2009), American musician and entertainer
邁克爾·克萊頓	迈克尔·克莱顿	Mài kè ěr · Kè lái dùn	Michael Crichton (1942-), US techno-thriller writer, author of Jurassic Park
邁克爾·喬丹	迈克尔·乔丹	Mài kè ěr · Qiáo dān	Michael Jordan (1963-) US basketball player
那木巴爾·恩赫巴亞爾	那木巴尔·恩赫巴亚尔	Nǎ mù bā ěr · Ēn hè bā yà ěr	Nambaryn Enkhbayar (1958-), Mongolian People's Revolutionary Party politician, president of Mongolia 2005-2009
邱吉爾	邱吉尔	Qiū jí ěr	Winston Churchill (1874-1965), UK politican and prime minister 1940-1945 and 1951-1955/surname Churchill
鄂爾多斯	鄂尔多斯	È ěr duō sī	Ordos, region of Inner Mongolia administered as a prefecture-level city, and a people of the region
鄂爾多斯市	鄂尔多斯市	È ěr duō sī shì	Ordos prefecture-level city in Inner Mongolia
鄂爾多斯沙漠	鄂尔多斯沙漠	È ěr duō sī Shā mò	Ordos Desert, Inner Mongolia
鄂爾多斯高原	鄂尔多斯高原	È ěr duō sī Gāo yuán	Ordos Plateau, Inner Mongolia
里爾	里尔	Lǐ ěr	Lille (city in France)
里瓦爾多	里瓦尔多	Lǐ wǎ ěr duō	Rivaldo
錫爾河	锡尔河	Xī ěr Hé	Syr Darya, Central Asian river, flowing from Kyrgiz Republic through Kazakhstan to the Aral sea
鐵爾梅茲	铁尔梅兹	Tiě ěr méi zī	Termez city in southeast Uzbekistan
開伯爾	开伯尔	Kāi bó ěr	Khyber province of Pakistan/Northwest Frontier province
開伯爾山口	开伯尔山口	Kāi bó ěr shān kǒu	Khyber pass (between Pakistand and Afghanistan)
開爾文	开尔文	Kāi ěr wén	Lord Kelvin 1824-1907, British physicist (William Thomson)/Kelvin (temperature scale)
阿倫達爾	阿伦达尔	Ā lún dá ěr	Arendal (city in Agder, Norway)
阿加迪爾	阿加迪尔	Ā jiā dí ěr	Agadir, city in southwest Morocco
阿卡普爾科	阿卡普尔科	Ā kǎ pǔ ěr kē	Acapulco, city in Mexico
阿拉爾	阿拉尔	Ā lā ěr	Aral shehiri (Aral city) or Ālā'ěr subprefecture level city in west Xinjiang
阿拉爾市	阿拉尔市	Ā lā ěr shì	Aral shehiri (Aral city) or Ālā'ěr subprefecture level city in west Xinjiang
阿斯佩爾格爾	阿斯佩尔格尔	Ā sī pèi ěr gé ěr	Hans Asperger (1906-1980), Austrian pediatrician
阿普爾頓	阿普尔顿	Ā pǔ ěr dùn	Appleton (name)/Sir Edward Appleton (1892-1965), British physicist, Nobel laureate who discovered the ionosphere
阿法爾	阿法尔	Ā fǎ ěr	Afar region of northeast Ethiopia/Afar people
阿法爾沙漠	阿法尔沙漠	Ā fǎ ěr Shā mò	Afar Desert, Southern Ethiopia
阿爾伯塔	阿尔伯塔	Ā ěr bó tǎ	Alberta province of Canada, capital Edmonton 埃德蒙頓|埃德蒙顿[Āi dé méng dùn]
阿爾伯特	阿尔伯特	Ā ěr bó tè	Albert (name)
阿爾加維	阿尔加维	Ā ěr jiā wéi	the Algarve (southern region of Portugal)
阿爾卑斯	阿尔卑斯	Ā ěr bēi sī	Alps (mountain range)
阿爾卡特	阿尔卡特	Ā ěr kǎ tè	Alcatel, old company name
阿爾及利亞	阿尔及利亚	Ā ěr jí lì yà	Algeria
阿爾及利亞人	阿尔及利亚人	Ā ěr jí lì yà rén	Algerian
阿爾及爾	阿尔及尔	Ā ěr jí ěr	Algiers, capital of Algeria
阿爾坎塔拉	阿尔坎塔拉	Ā ěr kǎn tǎ lā	Alcántara, municipality in the province of Cáceres, Extremadura, Spain/Alcantara, Brazil space launch site
阿爾山	阿尔山	Ā ěr shān	Arxan county level city, Mongolian Rashaant xot, in Hinggan league 興安盟|兴安盟[Xīng ān méng], east Inner Mongolia
阿爾山市	阿尔山市	Ā ěr shān shì	Arxan county level city, Mongolian Rashaant xot, in Hinggan league 興安盟|兴安盟[Xīng ān méng], east Inner Mongolia
阿爾巴尼亞	阿尔巴尼亚	Ā ěr bā ní yà	Albania
阿爾巴尼亞人	阿尔巴尼亚人	Ā ěr bā ní yà rén	Albanian (person)
阿爾斯通公司	阿尔斯通公司	Ā ěr sī tōng Gōng sī	Alstom (company name)
阿爾梅里亞	阿尔梅里亚	Ā ěr méi lǐ yà	Almería
阿爾法	阿尔法	ā ěr fǎ	alpha (Greek letter Αα)
阿爾法·羅密歐	阿尔法·罗密欧	Ā ěr fǎ · Luó mì ōu	Alfa Romeo
阿爾法粒子	阿尔法粒子	ā ěr fǎ lì zǐ	alpha particle (helium nucleus)
阿爾泰	阿尔泰	Ā ěr tài	Altai republic in Russian central Asia, capital Gorno-Altaysk
阿爾泰山	阿尔泰山	Ā ěr tài Shān	Altai mountain range in Xinjiang and Siberia
阿爾泰山脈	阿尔泰山脉	Ā ěr tài shān mài	Altai mountain chain on the border of Russia and Mongolia
阿爾泰紫菀	阿尔泰紫菀	ā ěr tài zǐ wǎn	flower or herb of Heteropappus altaicus (used in TCM)/Flos seu Herba Heteropappi altaici
阿爾泰語	阿尔泰语	Ā ěr tài yǔ	Altaic language
阿爾泰雪雞	阿尔泰雪鸡	Ā ěr tài xuě jī	(bird species of China) Altai snowcock (Tetraogallus altaicus)
阿爾漢格爾斯克州	阿尔汉格尔斯克州	Ā ěr hàn gé ěr sī kè zhōu	Arkhangelsk Oblast, Russia
阿爾瓦塞特	阿尔瓦塞特	Ā ěr wǎ sè tè	Albacete, Spain
阿爾茨海默	阿尔茨海默	Ā ěr cí hǎi mò	Alois Alzheimer (1864-1915), German psychiatrist and neuropathologist
阿爾茨海默氏病	阿尔茨海默氏病	Ā ěr cí hǎi mò shì bìng	Alzheimer's disease/senile dementia
阿爾茨海默氏症	阿尔茨海默氏症	Ā ěr cí hǎi mò shì zhèng	Alzheimer's disease/senile dementia
阿爾茨海默病	阿尔茨海默病	Ā ěr cí hǎi mò bìng	Alzheimer's disease/senile dementia
阿爾茨海默症	阿尔茨海默症	Ā ěr cí hǎi mò zhèng	Alzheimer's disease/senile dementia
阿爾蓋達	阿尔盖达	Ā ěr Gài dá	al-Qaeda
阿爾薩斯	阿尔萨斯	Ā ěr sà sī	Alsace, French department
阿爾袞琴	阿尔衮琴	Ā ěr gǔn qín	Algonquin (North American people)
阿爾都塞	阿尔都塞	Ā ěr dōu sāi	surname Althusser/Louis Pierre Althusser 路易·皮埃爾·阿爾都塞|路易·皮埃尔·阿尔都塞[Lù yì · Pí āi ěr · Ā ěr dōu sāi] (1918-1990), Marxist philosopher
阿穆爾州	阿穆尔州	Ā mù ěr Zhōu	Amur Oblast, in far eastern Russia
阿穆爾河	阿穆尔河	Ā mù ěr Hé	Amur River (the border between northeast China and Russia)/same as 黑龍江|黑龙江[Hēi lóng jiāng]
阿芙樂爾號	阿芙乐尔号	Ā fú lè ěr Hào	Russian cruiser Aurora, firing the shot signaling the 1917 revolution, a favorite of communist iconography
阿貝爾	阿贝尔	Ā bèi ěr	Niels Henrik Abel (1802-1829), Norwegian mathematician/(math.) abelian
阿達比爾	阿达比尔	Ā dá bǐ ěr	Ardabil in Azerbaijan region of Iran
阿金庫爾	阿金库尔	Ā jīn kù ěr	Agincourt (near Arras in north France, scene of a battle in 1415)
阿魯科爾沁	阿鲁科尔沁	Ā lǔ kē ěr qìn	Ar Horqin banner or Aru Khorchin khoshuu in Chifeng 赤峰[Chì fēng], Inner Mongolia
阿魯科爾沁旗	阿鲁科尔沁旗	Ā lǔ kē ěr qìn qí	Ar Horqin banner or Aru Khorchin khoshuu in Chifeng 赤峰[Chì fēng], Inner Mongolia
阿魯納恰爾邦	阿鲁纳恰尔邦	Ā lǔ nà qià ěr bāng	Arunachal Pradesh, a state of India in the northeast of the country, occupying an area claimed by China in an ongoing sovereignty dispute
陳巴爾虎旗	陈巴尔虎旗	Chén bā ěr hǔ qí	Old Barag banner in Hulunbuir 呼倫貝爾|呼伦贝尔[Hū lún bèi ěr], Inner Mongolia
隆格爾	隆格尔	Lóng gé ěr	former Lunggar county 1983-1999 occupying parts of Zhongba county 仲巴縣|仲巴县[Zhòng bā xiàn], Ngari prefecture, Tibet
隆格爾縣	隆格尔县	Lóng gé ěr xiàn	former Lunggar county 1983-1999 occupying parts of Zhongba county 仲巴縣|仲巴县[Zhòng bā xiàn], Ngari prefecture, Tibet
雅爾塔	雅尔塔	Yǎ ěr tǎ	Yalta
雪菲爾德	雪菲尔德	Xuě fēi ěr dé	Sheffield (City in England)
雷亞爾	雷亚尔	léi yà ěr	real (Brazilian currency) (loanword)
雷阿爾城	雷阿尔城	Léi ā ěr chéng	Ciudad Real
霍爾	霍尔	Huò ěr	Hall (name)
霍爾姆斯	霍尔姆斯	Huò ěr mǔ sī	Holmes (name)
霍爾布魯克	霍尔布鲁克	Huò ěr bù lǔ kè	Holbrook (name)/Richard C.A. Holbrooke (1941-2010), US diplomat, influential in brokering 1995 Dayton Bosnian peace deal, US special envoy to Afghanistan and Pakistan from 2009
霍爾木茲	霍尔木兹	Huò ěr mù zī	Hormuz, Iran, at the mouth of the Persian Gulf
霍爾木茲島	霍尔木兹岛	Huò ěr mù zī Dǎo	Hormuz Island, Iran, at the mouth of the Persian Gulf
霍爾木茲海峽	霍尔木兹海峡	Huò ěr mù zī Hǎi xiá	Strait of Hormuz
霍爾滕	霍尔滕	Huò ěr téng	Horten (city in Vestfold, Norway)
非阿貝爾	非阿贝尔	fēi ā bèi ěr	(math.) non-abelian
韋爾弗雷茲	韦尔弗雷兹	Wéi ěr fú léi zī	(George) Wehrfritz (Beijing bureau chief of Newsweek)
