爾	尔	ěr	thus/so/like that/you/thou
厄爾布魯士	厄尔布鲁士	È ěr bù lǔ shì	Mt Elbrus, the highest peak of the Caucasus Mountains
厄瓜多爾	厄瓜多尔	È guā duō ěr	Ecuador
參卡爾	参卡尔	Cān kǎ ěr	Ivan Cankar (1876-1918), Slovenian modernist writer
古傑拉爾	古杰拉尔	Gǔ jié lā ěr	Gujral (name)/Inder Kumar Gujral (1919-2012), Indian Janata politician, prime minister 1997-1998
古爾班通古特沙漠	古尔班通古特沙漠	Gǔ ěr bān tōng gǔ tè Shā mò	Gurbantunggut Desert, northern Xinjiang
古爾邦節	古尔邦节	Gǔ ěr bāng jié	Eid al-Adha or Festival of the Sacrifice (Qurban), celebrated on the 10th day of the 12th month of the Islamic calendar
吉木薩爾	吉木萨尔	Jí mù sà ěr	Jimsar county or Jimisar nahiyisi in Changji Hui autonomous prefecture 昌吉回族自治州[Chāng jí Huí zú zì zhì zhōu], Xinjiang
吉木薩爾縣	吉木萨尔县	Jí mù sà ěr xiàn	Jimsar county or Jimisar nahiyisi in Changji Hui autonomous prefecture 昌吉回族自治州[Chāng jí Huí zú zì zhì zhōu], Xinjiang
吉爾伯特	吉尔伯特	Jí ěr bó tè	Gilbert (name)
吉爾伯特群島	吉尔伯特群岛	Jí ěr bó tè Qún dǎo	Gilbert Islands
吉爾吉斯	吉尔吉斯	Jí ěr jí sī	Kyrgyz/Kyrgyzstan
吉爾吉斯人	吉尔吉斯人	Jí ěr jí sī rén	Kyrgyz (person)
吉爾吉斯坦	吉尔吉斯坦	Jí ěr jí sī tǎn	Kyrgyzstan
吉爾吉斯斯坦	吉尔吉斯斯坦	Jí ěr jí sī sī tǎn	Kyrgyzstan
吉爾吉斯族	吉尔吉斯族	Jí ěr jí sī zú	Kyrgyz ethnic group/also written 柯爾克孜族|柯尔克孜族[Kē ěr kè zī zú]
吉爾達	吉尔达	jí ěr dá	gelada (Theropithecus gelada), Ethiopian herbivorous monkey similar to baboon
吾爾開希	吾尔开希	Wú ěr kāi xī	Örkesh Dölet (1968-), one of the main leaders of the Beijing student democracy movement of 1989
呂塞爾斯海姆	吕塞尔斯海姆	Lǚ sāi ěr sī hǎi mǔ	Rüsselsheim, city in Germany
呼倫貝爾	呼伦贝尔	Hū lún bèi ěr	Hulunbuir prefecture-level city in Inner Mongolia
呼倫貝爾市	呼伦贝尔市	Hū lún bèi ěr shì	Hulunbuir prefecture-level city in Inner Mongolia
呼倫貝爾盟	呼伦贝尔盟	Hū lún bèi ěr méng	Hulunbeir league (equivalent to prefecture), Inner Mongolia
呼倫貝爾草原	呼伦贝尔草原	Hū lún bèi ěr cǎo yuán	Hulunbuir grasslands of Inner Mongolia
和布克賽爾縣	和布克赛尔县	Hé bù kè sài ěr xiàn	Hoboksar Mongol autonomous county or Qobuqsar Mongghul aptonom nahiyisi in Tacheng prefecture 塔城地區|塔城地区[Tǎ chéng dì qū], Xinjiang
和布克賽爾蒙古自治縣	和布克赛尔蒙古自治县	Hé bù kè sài ěr Měng gǔ Zì zhì xiàn	Hoboksar Mongol autonomous county or Qobuqsar Mongghul aptonom nahiyisi in Tacheng prefecture 塔城地區|塔城地区[Tǎ chéng dì qū], Xinjiang
和林格爾	和林格尔	Hé lín gé ěr	Horinger county in Hohhot 呼和浩特[Hū hé hào tè], Inner Mongolia
和林格爾縣	和林格尔县	Hé lín gé ěr xiàn	Horinger county in Hohhot 呼和浩特[Hū hé hào tè], Inner Mongolia
哈拉爾五世	哈拉尔五世	Hā lā ěr Wǔ shì	Harald V of Norway
哈爾斯塔	哈尔斯塔	Hā ěr sī tǎ	Harstad (city in Norway)
哈爾濱	哈尔滨	Hā ěr bīn	Harbin, subprovincial city and capital of Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] in northeast China
