橋	桥	qiáo	bridge/CL:座[zuò]
船到橋門自會直	船到桥门自会直	chuán dào qiáo mén zì huì zhí	lit. when the ship arrives at the bridge we can deal with the problem/no point in worrying about sth until it actually happens (idiom)
船到橋頭自然直	船到桥头自然直	chuán dào qiáo tóu zì rán zhí	lit. when the boat gets to the pier-head, it will go straight with the current (proverb)/fig. everything will be all right/cf 車到山前必有路，船到橋頭自然直|车到山前必有路，船到桥头自然直
艦橋	舰桥	jiàn qiáo	bridge
蘆溝橋	芦沟桥	Lú gōu Qiáo	Lugou Bridge or Marco Polo Bridge in southwest of Beijing, the scene of a conflict that marked the beginning of the Second Sino-Japanese War 抗日戰爭|抗日战争[Kàng Rì Zhàn zhēng]
蘆溝橋事變	芦沟桥事变	Lú gōu Qiáo Shì biàn	Marco Polo Bridge Incident of 7th July 1937, regarded as the beginning of the Second Sino-Japanese War 抗日戰爭|抗日战争[Kàng Rì Zhàn zhēng]
虹橋	虹桥	Hóng qiáo	Hongqiao, the name of numerous entities, notably a major airport in Shanghai, and a district in Tianjin
虹橋機場	虹桥机场	Hóng qiáo jī chǎng	Hongqiao Airport (Shanghai)
趙州橋	赵州桥	Zhào zhōu Qiáo	Zhaozhou Bridge over Xiao River 洨河[Xiáo Hé] in Zhao county 趙縣|赵县[Zhào Xiàn], Shijiazhuang, Hebei, dating back to the Sui dynasty 隋代[Suí dài] (581-617) and the world's oldest extant stone arch bridge
跨海大橋	跨海大桥	kuà hǎi dà qiáo	bay bridge (elevated bridge across stretch of water)
跨線橋	跨线桥	kuà xiàn qiáo	flyover (road bridge)
路橋	路桥	Lù qiáo	Luqiao district of Taizhou city 台州市[Tāi zhōu shì], Zhejiang
路橋	路桥	lù qiáo	road bridge
路橋區	路桥区	Lù qiáo qū	Luqiao district of Taizhou city 台州市[Tāi zhōu shì], Zhejiang
車到山前必有路，船到橋頭自然直	车到山前必有路，船到桥头自然直	chē dào shān qián bì yǒu lù , chuán dào qiáo tóu zì rán zhí	lit. When we get to the mountain, there'll be a way through and when the boat gets to the pier-head, it will go straight with the current. (idiom)/fig. Everything will turn out for the best./Let's worry about it when it happens./It will be all right on the night.
造橋	造桥	Zào qiáo	Zaoqiao or Tsaochiao township in Miaoli county 苗栗縣|苗栗县[Miáo lì xiàn], northwest Taiwan
造橋鄉	造桥乡	Zào qiáo xiāng	Zaoqiao or Tsaochiao township in Miaoli county 苗栗縣|苗栗县[Miáo lì xiàn], northwest Taiwan
過橋米線	过桥米线	guò qiáo mǐ xiàn	rice noodle soup from Yunnan province
過橋貸款	过桥贷款	guò qiáo dài kuǎn	bridge loan
過河拆橋	过河拆桥	guò hé chāi qiáo	lit. to destroy the bridge after crossing the river (idiom)/fig. to abandon one's benefactor upon achieving one's goal
過街天橋	过街天桥	guò jiē tiān qiáo	skywalk/pedestrian bridge
陳橋兵變	陈桥兵变	Chén qiáo bīng biàn	the military revolt of 960 that led Zhao Kuangyin 趙匡胤|赵匡胤 to found the Song dynasty
雙曲拱橋	双曲拱桥	shuāng qū gǒng qiáo	double arched bridge
雙橋	双桥	Shuāng qiáo	Shuangqia suburban district of Chongqing municipality, formerly in Sichuan
雙橋區	双桥区	Shuāng qiáo qū	Shuangqia suburban district of Chongqing municipality, formerly in Sichuan/Shuangqia district of Chengde city 承德市[Chéng dé shì], Hebei
青馬大橋	青马大桥	Qīng mǎ Dà qiáo	Tsing Ma Bridge (to Hong Kong Airport)
高架橋	高架桥	gāo jià qiáo	high trestle bridge/viaduct/flyover
高橋	高桥	Gāo qiáo	Takahashi (Japanese surname)
高橋留美子	高桥留美子	Gāo qiáo Liú měi zǐ	Takahashi Rumiko, Japanese manga artist
鵲橋	鹊桥	què qiáo	magpie bridge across the Milky Way between Altair and Vega where Cowherd and Weaving maid 牛郎織女|牛郎织女 are allowed an annual meeting
