縣	县	xiàn	county
江城哈尼族彞族自治縣	江城哈尼族彝族自治县	Jiāng chéng Hā ní zú Yí zú Zì zhì xiàn	Jiangcheng Hani and Yi autonomous county in Pu'er 普洱[Pǔ ěr], Yunnan
江城縣	江城县	Jiāng chéng xiàn	Jiangcheng Hani and Yi autonomous county in Pu'er 普洱[Pǔ ěr], Yunnan
江孜縣	江孜县	Jiāng zī xiàn	Gyangzê county, Tibetan: Rgyal rtse rdzong, in Shigatse prefecture, Tibet
江安縣	江安县	Jiāng ān xiàn	Jiang'an county in Yibin 宜賓|宜宾[Yí bīn], Sichuan
江川縣	江川县	Jiāng chuān xiàn	Jiangchuan county in Yuxi 玉溪[Yù xī], Yunnan
江永縣	江永县	Jiāng yǒng xiàn	Jiangyong county in Yongzhou 永州[Yǒng zhōu], Hunan
江浦縣	江浦县	Jiāng pǔ xiàn	Jiangpu county, old name of Pukou district 浦口區|浦口区[Pǔ kǒu qū] of Nanjing, Jiangsu
江華瑤族自治縣	江华瑶族自治县	Jiāng huá Yáo zú Zì zhì xiàn	Jianghua Yaozu autonomous county in Yongzhou 永州[Yǒng zhōu], Hunan
江華縣	江华县	Jiāng huá xiàn	Jianghua Yaozu autonomous county in Yongzhou 永州[Yǒng zhōu], Hunan
江達縣	江达县	Jiāng dá xiàn	Jomdo county, Tibetan: 'Jo mda' rdzong, in Chamdo prefecture 昌都地區|昌都地区[Chāng dū dì qū], Tibet
江陵縣	江陵县	Jiāng líng xiàn	Jiangling county in Jingzhou 荊州|荆州[Jīng zhōu], Hubei
汪清縣	汪清县	Wāng qīng xiàn	Wangqing county in Yanbian Korean autonomous prefecture 延邊朝鮮族自治州|延边朝鲜族自治州, Jilin
汶上縣	汶上县	Wèn shàng Xiàn	Wenshang County in Jining 濟寧|济宁[Jǐ níng], Shandong
汶川縣	汶川县	Wèn chuān xiàn	Wenchuan county (Tibetan: wun khron rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[Ā bà Zàng zú Qiāng zú zì zhì zhōu], northwest Sichuan
汾西縣	汾西县	Fén xī xiàn	Fengxi county in Linfen 臨汾|临汾[Lín fén], Shanxi
沁水縣	沁水县	Qìn shuǐ xiàn	Qinshui county in Jincheng 晉城|晋城[Jìn chéng], Shanxi
沁源縣	沁源县	Qìn yuán xiàn	Qingyuan county in Changzhi 長治|长治[Cháng zhì], Shanxi
沁縣	沁县	Qìn xiàn	Qin county in Changzhi 長治|长治[Cháng zhì], Shanxi
沂南縣	沂南县	Yí nán xiàn	Yinan county in Linyi 臨沂|临沂[Lín yí], Shandong
沂水縣	沂水县	Yí shuǐ xiàn	Yishui county in Linyi 臨沂|临沂[Lín yí], Shandong
沂源縣	沂源县	Yí yuán xiàn	Yiyuan county in Zibo 淄博[Zī bó], Shandong
沅陵縣	沅陵县	Yuán líng xiàn	Yuanling county in Huaihua 懷化|怀化[Huái huà], Hunan
沈丘縣	沈丘县	Shěn qiū xiàn	Shenqiu county in Zhoukou 周口[Zhōu kǒu], Henan
沐川縣	沐川县	Mù chuān xiàn	Muchuan county in Leshan 樂山|乐山[Lè shān], Sichuan
沖繩縣	冲绳县	Chōng shéng xiàn	Okinawa prefecture, Japan
沙洋縣	沙洋县	Shā yáng xiàn	Shayang county in Jingmen 荊門|荆门[Jīng mén], Hubei
沙灣縣	沙湾县	Shā wān xiàn	Shawan county or Saven nahisi in Tacheng prefecture 塔城地區|塔城地区[Tǎ chéng dì qū], Xinjiang
沙縣	沙县	Shā xiàn	Sha county in Sanming 三明[Sān míng], Fujian
沙雅縣	沙雅县	Shā yǎ xiàn	Shayar nahiyisi (Shaya county) in Aksu 阿克蘇地區|阿克苏地区[Ā kè sū dì qū], west Xinjiang
沛縣	沛县	Pèi xiàn	Pei county in Xuzhou 徐州[Xú zhōu], Jiangsu
沭陽縣	沭阳县	Shù yáng Xiàn	Shuyang County in Suqian 宿遷|宿迁[Sù qiān], Jiangsu
河南縣	河南县	Hé nán xiàn	Henan Mengguzu autonomous county in Qinghai/in Huangnan Tibetan autonomous prefecture 黃南藏族自治州|黄南藏族自治州[Huáng nán Zàng zú zì zhì zhōu], Qinghai
河南蒙古族自治縣	河南蒙古族自治县	Hé nán Méng gǔ zú Zì zhì xiàn	Henan Mengguzu autonomous county in Qinghai/in Huangnan Tibetan autonomous prefecture 黃南藏族自治州|黄南藏族自治州[Huáng nán Zàng zú Zì zhì zhōu], Qinghai
河口瑤族自治縣	河口瑶族自治县	Hé kǒu Yáo zú Zì zhì xiàn	Hekou Yaozu autonomous county in Honghe Hani and Yi autonomous prefecture 紅河哈尼族彞族自治州|红河哈尼族彝族自治州[Hóng hé Hā ní zú Yí zú Zì zhì zhōu], Yunnan
河曲縣	河曲县	Hé qǔ xiàn	Hequ county in Xinzhou 忻州[Xīn zhōu], Shanxi
治多縣	治多县	Zhì duō xiàn	Zhidoi county (Tibetan: 'bri stod rdzong) in Yushu Tibetan autonomous prefecture 玉樹藏族自治州|玉树藏族自治州[Yù shù Zàng zú zì zhì zhōu], Qinghai
沽源縣	沽源县	Gū yuán xiàn	Guyuan county in Zhangjiakou 張家口|张家口[Zhāng jiā kǒu], Hebei
沾化縣	沾化县	Zhān huà xiàn	Zhanhu county in Binzhou 濱州|滨州[Bīn zhōu], Shandong
沿河土家族自治縣	沿河土家族自治县	Yán hé Tǔ jiā zú Zì zhì xiàn	Yanhe Tujia autonomous county in Tongren prefecture 銅仁地區|铜仁地区[Tóng rén dì qū], Guizhou
沿河縣	沿河县	Yán hé xiàn	Yanhe Tujia autonomous county in Tongren prefecture 銅仁地區|铜仁地区[Tóng rén dì qū], Guizhou
泌陽縣	泌阳县	Bì yáng xiàn	Biyang county in Zhumadian 駐馬店|驻马店[Zhù mǎ diàn], Henan
法庫縣	法库县	Fǎ kù xiàn	Faku county in Shenyang 瀋陽|沈阳, Liaoning
泗水縣	泗水县	Sì shuǐ Xiàn	Sishui County in Jining 濟寧|济宁[Jǐ níng], Shandong
泗洪縣	泗洪县	Sì hóng Xiàn	Sihong County in Suqian 宿遷|宿迁[Sù qiān], Jiangsu
泗縣	泗县	Sì xiàn	Si county in Suzhou 宿州[Sù zhōu], Anhui
泗陽縣	泗阳县	Sì yáng Xiàn	Siyang County in Suqian 宿遷|宿迁[Sù qiān], Jiangsu
波密縣	波密县	Bō mì xiàn	Bomi county, Tibetan: Spo mes rdzong, in Nyingchi prefecture 林芝地區|林芝地区[Lín zhī dì qū], Tibet
波陽縣	波阳县	Bō yáng xiàn	Boyang county, former name of Poyang county 鄱陽縣|鄱阳县[Pó yáng xiàn] in Shangrao 上饒|上饶[Shàng ráo], Jiangxi
泰來縣	泰来县	Tài lái xiàn	Tailai county in Qiqihar 齊齊哈爾|齐齐哈尔[Qí qí hā ěr], Heilongjiang
泰和縣	泰和县	Tài hé xiàn	Taihe county, Jiangxi
泰安縣	泰安县	Tài ān xiàn	Tai'an county in Shandong
泰寧縣	泰宁县	Tài níng xiàn	Taining county in Sanming 三明[Sān míng], Fujian
泰縣	泰县	Tài xiàn	Tai county in Jiangsu
泰順縣	泰顺县	Tài shùn xiàn	Taishun county in Wenzhou 溫州|温州[Wēn zhōu], Zhejiang
洋縣	洋县	Yáng Xiàn	Yang County in Hanzhong 漢中|汉中[Hàn zhōng], Shaanxi
洛南縣	洛南县	Luò nán Xiàn	Luonan County in Shangluo 商洛[Shāng luò], Shaanxi
洛寧縣	洛宁县	Luò Níng xiàn	Luoning county in Luoyang 洛陽|洛阳, Henan
洛川縣	洛川县	Luò chuān xiàn	Luochuan county in Yan'an 延安[Yán ān], Shaanxi
洛扎縣	洛扎县	Luò zhā xiàn	Lhozhag county, Tibetan: Lho brag rdzong, in Lhokha prefecture 山南地區|山南地区[Shān nán dì qū], Tibet
洛浦縣	洛浦县	Luò pǔ Xiàn	Lop County in Hotan Prefecture 和田地區|和田地区[Hé tián Dì qū], Xinjiang
洛隆縣	洛隆县	Luò lóng xiàn	Lhorong county, Tibetan: Lho rong rdzong, in Chamdo prefecture 昌都地區|昌都地区[Chāng dū dì qū], Tibet
洞口縣	洞口县	Dòng kǒu xiàn	Dongkou county in Shaoyang 邵陽|邵阳[Shào yáng], Hunan
洞頭縣	洞头县	Dòng tóu xiàn	Dontou county in Wenzhou 溫州|温州[Wēn zhōu], Zhejiang
洪洞縣	洪洞县	Hóng tóng xiàn	Hongtong county in Linfen 臨汾|临汾[Lín fén], Shanxi
洪澤縣	洪泽县	Hóng zé xiàn	Hongze county in Huai'an 淮安[Huái ān], Jiangsu
洪雅縣	洪雅县	Hóng yǎ Xiàn	Hongya County in Meishan 眉山市[Méi shān Shì], Sichuan
洱源縣	洱源县	Ěr yuán xiàn	Eryuan county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
浙江三門縣	浙江三门县	Zhè jiāng Sān mén xiàn	Sanmen County in Zhejiang
浙江天台縣	浙江天台县	Zhè jiāng Tiān tái xiàn	Tiantai County in Zhejiang
浚縣	浚县	Xùn Xiàn	Xun County in Hebi 鶴壁|鹤壁[Hè bì], Henan
浠水縣	浠水县	Xī shuǐ xiàn	Xishui county in Huanggang 黃岡|黄冈[Huáng gāng], Hubei
浦北縣	浦北县	Pǔ běi xiàn	Pubei county in Qinzhou 欽州|钦州[Qīn zhōu], Guangxi
浦城縣	浦城县	Pǔ chéng xiàn	Pucheng county in Nanping 南平[Nán píng] Fujian
浦江縣	浦江县	Pǔ jiāng xiàn	Pujiang county in Jinhua 金華|金华[Jīn huá], Zhejiang
浪卡子縣	浪卡子县	Làng kǎ zǐ xiàn	Nagarzê county, Tibetan: Sna dkar rtse rdzong, in Lhokha prefecture 山南地區|山南地区[Shān nán dì qū], Tibet
浮山縣	浮山县	Fú shān xiàn	Fushan county in Linfen 臨汾|临汾[Lín fén], Shanxi
浮梁縣	浮梁县	Fú liáng xiàn	Fuliang county in Jingdezhen 景德鎮|景德镇, Jiangxi
海原縣	海原县	Hǎi yuán xiàn	Haiyuan county in Zhongwei 中衛|中卫[Zhōng wèi], Ningxia
海安縣	海安县	Hǎi ān xiàn	Hai'an county in Nantong 南通[Nán tōng], Jiangsu
海晏縣	海晏县	Hǎi yàn xiàn	Haiyan county in Haibei Tibetan autonomous prefecture 海北藏族自治州[Hǎi běi Zàng zú zì zhì zhōu], Qinghai
海興縣	海兴县	Hǎi xīng xiàn	Haixing county in Cangzhou 滄州|沧州[Cāng zhōu], Hebei
海豐縣	海丰县	Hǎi fēng xiàn	Haifeng county in Shanwei 汕尾, Guangdong
海鹽縣	海盐县	Hǎi yán xiàn	Haiyan county in Jiaxing 嘉興|嘉兴[Jiā xīng], Zhejiang
涇川縣	泾川县	Jīng chuān xiàn	Jingchuan county in Pingliang 平涼|平凉[Píng liáng], Gansu
涇源縣	泾源县	Jīng yuán xiàn	Jingyuan county in Guyuan 固原[Gù yuán], Ningxia
涇縣	泾县	Jīng xiàn	Jing county in Xuancheng 宣城[Xuān chéng], Anhui
涇陽縣	泾阳县	Jīng yáng Xiàn	Jingyang County in Xianyang 咸陽|咸阳[Xián yáng], Shaanxi
涉縣	涉县	Shè xiàn	She county in Handan 邯鄲|邯郸[Hán dān], Hebei
涼城縣	凉城县	Liáng chéng xiàn	Liangcheng county in Ulaanchab 烏蘭察布|乌兰察布[Wū lán chá bù], Inner Mongolia
涿鹿縣	涿鹿县	Zhuō lù xiàn	Zhuolu county in Zhangjiakou 張家口|张家口[Zhāng jiā kǒu], Hebei
淅川縣	淅川县	Xī chuān xiàn	Xichuan county in Nanyang 南陽|南阳[Nán yáng], Henan
淇縣	淇县	Qí xiàn	Qi county in Hebi 鶴壁|鹤壁[Hè bì], Henan
淮濱縣	淮滨县	Huái bīn xiàn	Huaibin county in Xinyang 信陽|信阳, Henan
淮陽縣	淮阳县	Huái yáng xiàn	Huaiyang county in Zhoukou 周口[Zhōu kǒu], Henan
深澤縣	深泽县	Shēn zé xiàn	Shenze county in Shijiazhuang 石家莊|石家庄[Shí jiā zhuāng], Hebei
深縣	深县	Shēn xiàn	Shen county in Hebei
淳化縣	淳化县	Chún huà Xiàn	Chunhua County in Xianyang 咸陽|咸阳[Xián yáng], Shaanxi
淳安縣	淳安县	Chún ān xiàn	Chun'an county in Hangzhou 杭州[Háng zhōu], Zhejiang
淶水縣	涞水县	Lái shuǐ xiàn	Laishui county in Baoding 保定[Bǎo dìng], Hebei
淶源縣	涞源县	Lái yuán xiàn	Laiyuan county in Baoding 保定[Bǎo dìng], Hebei
清原滿族自治縣	清原满族自治县	Qīng yuán Mǎn zú Zì zhì xiàn	Qingyuan Manchu autonomous county in Fushun 撫順|抚顺, Liaoning
清原縣	清原县	Qīng yuán xiàn	Qingyuan county in Fushun 撫順|抚顺, Liaoning
清宛縣	清宛县	Qīng wǎn xiàn	Qingwan county in Baoding prefecture, Hebei
清徐縣	清徐县	Qīng xú xiàn	Qingxu county in Taiyuan 太原[Tài yuán], Shanxi
清新縣	清新县	Qīng xīn xiàn	Qingxin county in Qingyuan 清远, Guangdong
清水河縣	清水河县	Qīng shuǐ hé xiàn	Qingshuihe county in Hohhot 呼和浩特[Hū hé hào tè], Inner Mongolia
清水縣	清水县	Qīng shuǐ xiàn	Qingshui county in Tianshui 天水[Tiān shuǐ], Gansu
清河縣	清河县	Qīng hé xiàn	Qinghe county in Xingtai 邢台[Xíng tái], Hebei
清流縣	清流县	Qīng liú xiàn	Qingliu county in Sanming 三明[Sān míng], Fujian
清澗縣	清涧县	Qīng jiàn Xiàn	Qingjian County in Yulin 榆林[Yú lín], Shaanxi
清苑縣	清苑县	Qīng yuàn xiàn	Qingyuan county in Baoding 保定[Bǎo dìng], Hebei
清豐縣	清丰县	Qīng fēng xiàn	Qingfeng county in Puyang 濮陽|濮阳[Pú yáng], Henan
渠縣	渠县	Qú xiàn	Qu county in Dazhou 達州|达州[Dá zhōu], Sichuan
渦陽縣	涡阳县	Guō yáng xiàn	Guoyang county in Bozhou 亳州[Bó zhōu], Anhui
渭源縣	渭源县	Wèi yuán xiàn	Weiyuan county in Dingxi 定西[Dìng xī], Gansu
渾源縣	浑源县	Hún yuán xiàn	Hunyuan county in Datong 大同[Dà tóng], Shanxi
湄潭縣	湄潭县	Méi tán xiàn	Meitan county in Zunyi 遵義|遵义[Zūn yì], Guizhou
湖口縣	湖口县	Hú kǒu xiàn	Hukou county in Jiujiang 九江, Jiangxi
湘潭縣	湘潭县	Xiāng tán xiàn	Xiangtan county in Xiangtan 湘潭[Xiāng tán], Hunan
湘陰縣	湘阴县	Xiāng yīn xiàn	Xiangyin county in Yueyang 岳陽|岳阳[Yuè yáng], Hunan
湟中縣	湟中县	Huáng zhōng xiàn	Huangzhong county in Xining 西寧|西宁[Xī níng], Qinghai
湟源縣	湟源县	Huáng yuán xiàn	Huangyuan county in Xining 西寧|西宁[Xī níng], Qinghai
湯原縣	汤原县	Tāng yuán xiàn	Tangyuan county in Kiamusze or Jiamusi city 佳木斯[Jiā mù sī], Heilongjiang
湯陰縣	汤阴县	Tāng yīn xiàn	Tangyin county in Anyang 安陽|安阳[Ān yáng], Henan
溧水縣	溧水县	Lì shuǐ xiàn	Lishui county in Nanjing 南京, Jiangsu
溫宿縣	温宿县	Wēn sù xiàn	Onsu nahiyisi (Wensu county) in Aksu 阿克蘇地區|阿克苏地区[Ā kè sū dì qū], west Xinjiang
溫泉縣	温泉县	Wēn quán xiàn	Arishang Nahiyisi or Wenquan county in Börtala Mongol autonomous prefecture 博爾塔拉蒙古自治州|博尔塔拉蒙古自治州, Xinjiang
溫縣	温县	Wēn xiàn	Wen county in Jiaozuo 焦作[Jiāo zuò], Henan
滄源佤族自治縣	沧源佤族自治县	Cāng yuán Wǎ zú Zì zhì xiàn	Cangyuan Va Autonomous County in Lincang 臨滄|临沧[Lín cāng], Yunnan
滄源縣	沧源县	Cāng yuán xiàn	Cangyuan Va autonomous county in Lincang 臨滄|临沧[Lín cāng], Yunnan
滄縣	沧县	Cāng xiàn	Cang county in Cangzhou 滄州|沧州[Cāng zhōu], Hebei
滋賀縣	滋贺县	Zī hè xiàn	Shiga prefecture in central Japan
滎經縣	荥经县	Yíng jīng xiàn	Yingjing county in Ya'an 雅安[Yǎ ān], Sichuan
滎陽縣	荥阳县	Xíng yáng xiàn	Xingyang county in Henan
滑縣	滑县	Huá xiàn	Hua county in Anyang 安陽|安阳[Ān yáng], Henan
滕縣	滕县	Téng xiàn	Teng county in Shandong
滿城縣	满城县	Mǎn chéng xiàn	Mancheng county in Baoding 保定[Bǎo dìng], Hebei
漠河縣	漠河县	Mò hé xiàn	Mohe county in Daxing'anling prefecture 大興安嶺地區|大兴安岭地区, Heilongjiang
漢壽縣	汉寿县	Hàn shòu xiàn	Hanshou county in Changde 常德[Cháng dé], Hunan
漢源縣	汉源县	Hàn yuán xiàn	Hanyuan county in Ya'an 雅安[Yǎ ān], Sichuan
漢陰縣	汉阴县	Hàn yīn Xiàn	Hanyin County in Ankang 安康[Ān kāng], Shaanxi
漣水縣	涟水县	Lián shuǐ xiàn	Lianshui county in Huai'an 淮安[Huái ān], Jiangsu
漳浦縣	漳浦县	Zhāng pǔ xiàn	Zhangpu county in Zhangzhou 漳州[Zhāng zhōu], Fujian
漳縣	漳县	Zhāng xiàn	Zhang county in Dingxi 定西[Dìng xī], Gansu
漵浦縣	溆浦县	Xù pǔ xiàn	Xupu county in Huaihua 懷化|怀化[Huái huà], Hunan
漾濞彞族自治縣	漾濞彝族自治县	Yàng bì Yí zú Zì zhì xiàn	Yangbi Yizu Autonomous County in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
潁上縣	颍上县	Yǐng shàng xiàn	Yingshan County in Fuyang 阜陽|阜阳[Fù yáng], Anhui
潛山縣	潜山县	Qián shān xiàn	Qianshan county in Anqing 安慶|安庆[Ān qìng], Anhui
潢川縣	潢川县	Huáng chuān xiàn	Huangchuan county in Xinyang 信陽|信阳, Henan
潮安縣	潮安县	Cháo ān xiàn	Chao'an county in Chaozhou 潮州[Cháo zhōu], Guangdong
潼南縣	潼南县	Tóng nán xiàn	Tongnan suburban county in Chongqing municipality, formerly in Sichuan
潼關縣	潼关县	Tóng guān Xiàn	Tongguan County in Weinan 渭南[Wèi nán], Shaanxi
澄城縣	澄城县	Chéng chéng Xiàn	Chengcheng County in Weinan 渭南[Wèi nán], Shaanxi
澄江縣	澄江县	Chéng jiāng xiàn	Chengjiang county in Yuxi 玉溪[Yù xī], Yunnan
澄邁縣	澄迈县	Chéng mài xiàn	Chengmai County, Hainan
澎湖縣	澎湖县	Péng hú xiàn	Penghu county (Pescadores Islands), Taiwan
澠池縣	渑池县	Miǎn chí xiàn	Mianchi county in Sanmenxia 三門峽|三门峡[Sān mén xiá], Henan
澤州縣	泽州县	Zé zhōu xiàn	Zezhou county in Jincheng 晉城|晋城[Jìn chéng], Shanxi
澤庫縣	泽库县	Zé kù xiàn	Zeku county in Huangnan Tibetan autonomous prefecture 黃南藏族自治州|黄南藏族自治州[Huáng nán Zàng zú zì zhì zhōu], Qinghai
澤普縣	泽普县	Zé pǔ xiàn	Poskam nahiyisi (Poskam county) in Kashgar prefecture 喀什地區|喀什地区[Kā shí dì qū], west Xinjiang
澧縣	澧县	Lǐ xiàn	Li county in Changde 常德[Cháng dé], Hunan
濉溪縣	濉溪县	Suī xī xiàn	Suixi county in Huaibei 淮北[Huái běi], Anhui
濟陽縣	济阳县	Jì yáng xiàn	Jiyang county in Jinan 濟南|济南[Jǐ nán], Shandong
濮陽縣	濮阳县	Pú yáng xiàn	Puyang county in Puyang, Henan
濱海縣	滨海县	Bīn hǎi xiàn	Binhai county in Yancheng 鹽城|盐城[Yán chéng], Jiangsu
瀘定縣	泸定县	Lú dìng xiàn	Luding county (Tibetan: lcags zam rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
瀘水縣	泸水县	Lú shuǐ xiàn	Lushui county in Nujiang Lisu autonomous prefecture 怒江傈僳族自治州[Nù jiāng Lì sù zú zì zhì zhōu] in northwest Yunnan
瀘溪縣	泸溪县	Lú xī xiàn	Luxi county in Xiangxi Tujia and Miao autonomous prefecture 湘西土家族苗族自治州[Xiāng xī Tǔ jiā zú Miáo zú zì zhì zhōu]
瀘縣	泸县	Lú xiàn	Lu county in Luzhou 瀘州|泸州[Lú zhōu], Sichuan
瀘西縣	泸西县	Lú xī xiàn	Luxi county in Honghe Hani and Yi autonomous prefecture, Yunnan
瀾滄拉祜族自治縣	澜沧拉祜族自治县	Lán cāng Lā hù zú Zì zhì xiàn	Lancang Lahuzu Autonomous County in Pu'er 普洱[Pǔ ěr], Yunnan
瀾滄縣	澜沧县	Lán cāng xiàn	Lancang Lahuzu autonomous county in Pu'er 普洱[Pǔ ěr], Yunnan
灌南縣	灌南县	Guàn nán xiàn	Guannan county in Lianyungang 連雲港|连云港[Lián yún gǎng], Jiangsu
灌陽縣	灌阳县	Guàn yáng xiàn	Guanyang county in Guilin 桂林[Guì lín], Guangxi
灌雲縣	灌云县	Guàn yún xiàn	Guanyun county in Lianyungang 連雲港|连云港[Lián yún gǎng], Jiangsu
灤南縣	滦南县	Luán nán xiàn	Luannan county in Tangshan 唐山[Táng shān], Hebei
灤平縣	滦平县	Luán píng xiàn	Luanping county in Chengde 承德[Chéng dé], Hebei
灤縣	滦县	Luán xiàn	Luan county in Tangshan 唐山[Táng shān], Hebei
炎陵縣	炎陵县	Yán líng xiàn	Yanling county in Zhuzhou 株洲, Hunan
烏什縣	乌什县	Wū shí xiàn	Uchturpan nahiyisi (Uqturpan county) in Aksu 阿克蘇地區|阿克苏地区[Ā kè sū dì qū], west Xinjiang
烏恰縣	乌恰县	Wū qià xiàn	Wuqia county in Xinjiang
烏蘭縣	乌兰县	Wū lán xiàn	Wulan county in Haixi Mongol and Tibetan autonomous prefecture 海西蒙古族藏族自治州[Hǎi xī Měng gǔ zú Zàng zú zì zhì zhōu], Qinghai
烏魯克恰提縣	乌鲁克恰提县	Wū lǔ kè qià tí xiàn	Wuqia county in Xinjiang/name of county in Xinjiang from early 20th century now called Wuqia 烏恰縣|乌恰县
烏魯木齊縣	乌鲁木齐县	Wū lǔ mù qí xiàn	Urumqi county (Uighur: Ürümchi Nahiyisi) in Urumqi 烏魯木齊|乌鲁木齐[Wū lǔ mù qí], Xinjiang
焉耆回族自治縣	焉耆回族自治县	Yān qí Huí zú Zì zhì xiàn	Yanqi Hui Autonomous County in Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu], Xinjiang
焉耆縣	焉耆县	Yān qí xiàn	Yenji Xuyzu aptonom nahiyisi or Yanqi Hui autonomous county in Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu], Xinjiang
無棣縣	无棣县	Wú dì xiàn	Wudi county in Binzhou 濱州|滨州[Bīn zhōu], Shandong
無極縣	无极县	Wú jí xiàn	Wuji county in Shijiazhuang 石家莊|石家庄[Shí jiā zhuāng], Hebei
無為縣	无为县	Wú wéi xiàn	Wuwei county in Chaohu 巢湖[Cháo hú], Anhui
無錫縣	无锡县	Wú xī xiàn	Wuxi county in Jiangsu
熊本縣	熊本县	Xióng běn xiàn	Kumamoto prefecture, Kyūshū, Japan
營山縣	营山县	Yíng shān xiàn	Yingshan county in Nanchong 南充[Nán chōng], Sichuan
爐霍縣	炉霍县	Lú huò xiàn	Luhuo county (Tibetan: brag 'go rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
牟定縣	牟定县	Móu dìng xiàn	Mouding county in Chuxiong Yi autonomous prefecture 楚雄彞族自治州|楚雄彝族自治州[Chǔ xióng Yí zú zì zhì zhōu], Yunnan
特克斯縣	特克斯县	Tè kè sī Xiàn	Tekes County in Ili Kazakh autonomous prefecture 伊犁哈薩克自治州|伊犁哈萨克自治州[Yī lí Hā sà kè zì zhì zhōu], Xinjiang
犍為縣	犍为县	Qián wèi xiàn	Qianwei county in Leshan 樂山|乐山[Lè shān], Sichuan
獨山縣	独山县	Dú shān xiàn	Dushan county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qián nán zhōu], Guizhou
獲嘉縣	获嘉县	Huò jiā xiàn	Huojia county in Xinxiang 新鄉|新乡[Xīn xiāng], Henan
獻縣	献县	Xiàn xiàn	Xian county in Cangzhou 滄州|沧州[Cāng zhōu], Hebei
玉屏侗族自治縣	玉屏侗族自治县	Yù píng Dòng zú Zì zhì xiàn	Yuping Dong Autonomous County in Tongren prefecture 銅仁地區|铜仁地区[Tóng rén dì qū], Guizhou
玉屏縣	玉屏县	Yù píng xiàn	Yuping Dong autonomous county in Tongren prefecture 銅仁地區|铜仁地区[Tóng rén dì qū], Guizhou
玉山縣	玉山县	Yù shān xiàn	Yushan county in Shangrao 上饒|上饶, Jiangxi
玉樹縣	玉树县	Yù shù xiàn	Yushu county (Tibetan: yus hru'u rdzong) in Yushu Tibetan autonomous prefecture 玉樹藏族自治州|玉树藏族自治州[Yù shù Zàng zú zì zhì zhōu], Qinghai
玉環縣	玉环县	Yù huán xiàn	Yuhuan county in Taizhou 台州[Tāi zhōu], Zhejiang
玉田縣	玉田县	Yù tián xiàn	Yutian county in Tangshan 唐山[Táng shān], Hebei
玉龍納西族自治縣	玉龙纳西族自治县	Yù lóng Nà xī zú Zì zhì xiàn	Yulong Naxi autonomous county in Lijiang 麗江|丽江[Lì jiāng], Yunnan
玉龍縣	玉龙县	Yù lóng xiàn	Yulong Naxi autonomous county in Lijiang 麗江|丽江[Lì jiāng], Yunnan
珙縣	珙县	Gǒng xiàn	Gong county in Yibin 宜賓|宜宾[Yí bīn], Sichuan
班戈縣	班戈县	Bān gē xiàn	Baingoin county, Tibetan: Dpal mgon rdzong, in Nagchu prefecture 那曲地區|那曲地区[Nà qǔ dì qū], central Tibet
班瑪縣	班玛县	Bān mǎ xiàn	Baima or Banma county (Tibetan: pad ma rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guǒ luò zhōu], Qinghai
理塘縣	理塘县	Lǐ táng xiàn	Litang county (Tibetan: li thang rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
理縣	理县	Lǐ xiàn	Li county (Tibetan: li rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[Ā bà Zàng zú Qiāng zú zì zhì zhōu], northwest Sichuan
瑪多縣	玛多县	Mǎ duō xiàn	Madoi or Maduo county (Tibetan: rma stod rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guǒ luò zhōu], Qinghai
瑪曲縣	玛曲县	Mǎ qǔ xiàn	Maqu county in Gannan Tibetan autonomous prefecture 甘南藏族自治州[Gān nán Zàng zú zì zhì zhōu], Gansu
瑪沁縣	玛沁县	Mǎ qìn xiàn	Maqên or Maqin county (Tibetan: rma chen rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guǒ luò zhōu], Qinghai
瑪納斯縣	玛纳斯县	Mǎ nà sī xiàn	Manas county in Changji Hui autonomous prefecture 昌吉回族自治州[Chāng jí Huí zú zì zhì zhōu], Xinjiang
璧山縣	璧山县	Bì shān xiàn	Bishan suburban county in Chongqing municipality, formerly in Sichuan
