腦	脑	nǎo	brain/mind/head/essence
電腦繪圖	电脑绘图	diàn nǎo huì tú	computer graphics
電腦語言	电脑语言	diàn nǎo yǔ yán	programming language/computer language
電腦軟件	电脑软件	diàn nǎo ruǎn jiàn	computer software
電腦輔助工程	电脑辅助工程	diàn nǎo fǔ zhù gōng chéng	computer-aided engineering
電腦輔助教材	电脑辅助教材	diàn nǎo fǔ zhù jiào cái	computer-aided instruction
電腦輔助設計	电脑辅助设计	diàn nǎo fǔ zhù shè jì	computer-aided design
電腦輔助設計與繪圖	电脑辅助设计与绘图	diàn nǎo fǔ zhù shè jì yǔ huì tú	computer-aided design and drawing
頭兒腦兒	头儿脑儿	tóu r5 nǎo r5	leading figure/bigwig/lion/nabob/pooh-bah
頭昏腦悶	头昏脑闷	tóu hūn nǎo mèn	fainting and giddy/one's head spins
頭昏腦漲	头昏脑涨	tóu hūn nǎo zhàng	variant of 頭昏腦脹|头昏脑胀[tóu hūn nǎo zhàng]
頭昏腦眩	头昏脑眩	tóu hūn nǎo xuàn	dizzying/it makes one's head spin
頭昏腦脹	头昏脑胀	tóu hūn nǎo zhàng	giddy/one's head spins
頭暈腦漲	头晕脑涨	tóu yūn nǎo zhàng	variant of 頭暈腦脹|头晕脑胀[tóu yūn nǎo zhàng]
頭暈腦脹	头晕脑胀	tóu yūn nǎo zhàng	dizzy and light-headed
頭腦	头脑	tóu nǎo	brains/mind/skull/(fig.) gist (of a matter)/leader/boss
頭腦清楚	头脑清楚	tóu nǎo qīng chu	lucid/clear-headed/sensible
頭腦發脹	头脑发胀	tóu nǎo fā zhàng	swelling of the head (physical condition)/fig. swellheaded/conceited
頭腦簡單四肢發達	头脑简单四肢发达	tóu nǎo jiǎn dān sì zhī fā dá	all brawn no brains
頭腦風暴	头脑风暴	tóu nǎo fēng bào	brainstorming
首腦	首脑	shǒu nǎo	head (of state)/summit (meeting)/leader
首腦會晤	首脑会晤	shǒu nǎo huì wù	leadership meeting
首腦會談	首脑会谈	shǒu nǎo huì tán	summit talks/discussion between heads of state
首腦會議	首脑会议	shǒu nǎo huì yì	leadership conference/summit meeting
髓腦	髓脑	suǐ nǎo	brains/gray matter
鬼摸腦殼	鬼摸脑壳	guǐ mō nǎo ké	muddled/momentarily confused
鬼頭鬼腦	鬼头鬼脑	guǐ tóu guǐ nǎo	sneaky/furtive
麥金塔電腦	麦金塔电脑	Mài jīn tǎ diàn nǎo	Macintosh (brand of computers made by Apple)/Mac
