燈	灯	dēng	lamp/light/lantern/CL:盞|盏[zhǎn]
酒精燈	酒精灯	jiǔ jīng dēng	spirit lamp
長明燈	长明灯	cháng míng dēng	altar lamp burning day and night
閃光燈	闪光灯	shǎn guāng dēng	flash bulb (photography)
開燈	开灯	kāi dēng	to turn on the light
開綠燈	开绿灯	kāi lǜ dēng	to give the green light/to give the go-ahead
闖紅燈	闯红灯	chuǎng hóng dēng	to run a red light/failing to stop at a red traffic light/(slang) to have sex with a girl while she is menstruating
電燈	电灯	diàn dēng	electric light/CL:盞|盏[zhǎn]
電燈泡	电灯泡	diàn dēng pào	light bulb/(slang) unwanted third guest
霓虹燈	霓虹灯	ní hóng dēng	neon lamp (loanword)
霧燈	雾灯	wù dēng	fog lights (of a motor vehicle)
頂燈	顶灯	dǐng dēng	dome light (of a taxi etc)/ceiling light (in a room)/interior light (of a car)/light on the top of a mast etc
馬燈	马灯	mǎ dēng	barn lantern/kerosene lamp
黑燈下火	黑灯下火	hēi dēng xià huǒ	pitch dark/also written 黑燈瞎火|黑灯瞎火[hēi dēng xiā huǒ]
黑燈瞎火	黑灯瞎火	hēi dēng xiā huǒ	pitch dark
龍燈	龙灯	lóng dēng	dragon lantern
