內	内	nèi	inside/inner/internal/within/interior
內胚層	内胚层	nèi pēi céng	endoderm (cell lineage in embryology)
內能	内能	nèi néng	internal energy
內膜	内膜	nèi mó	inner membrane
內臟	内脏	nèi zàng	internal organs/viscera
內臣	内臣	nèi chén	chamberlain
內華達	内华达	Nèi huá dá	Nevada, US state
內華達州	内华达州	Nèi huá dá zhōu	Nevada, US state
內蒙	内蒙	Nèi měng	Inner Mongolia or Inner Mongolia autonomous region 內蒙古自治區|内蒙古自治区[Nèi měng gǔ Zì zhì qū]
內蒙古	内蒙古	Nèi měng gǔ	Inner Mongolia/abbr. for 內蒙古自治區|内蒙古自治区[Nèi měng gǔ Zì zhì qū], Inner Mongolia autonomous region
內蒙古大學	内蒙古大学	Nèi měng gǔ Dà xué	Inner Mongolia University
內蒙古自治區	内蒙古自治区	Nèi měng gǔ Zì zhì qū	Inner Mongolia autonomous region, abbr. 內蒙古|内蒙古[Nèi měng gǔ], capital Hohhot 呼和浩特市[Hū hé hào tè Shì]
內行	内行	nèi háng	expert/adept/experienced/an expert/a professional
內行看門道，外行看熱鬧	内行看门道，外行看热闹	nèi háng kàn mén dao , wài háng kàn rè nao	while the connoisseur recognizes the artistry, the layman simply enjoys the show
內衣	内衣	nèi yī	undergarment/underwear/CL:件[jiàn]
內衣褲	内衣裤	nèi yī kù	underwear
內袋	内袋	nèi dài	inner pocket
內裝	内装	nèi zhuāng	filled with/internal decoration/installed inside
內褲	内裤	nèi kù	underpants/panties/briefs
內襯	内衬	nèi chèn	lining (of a container etc) (engineering)
內視鏡	内视镜	nèi shì jìng	endoscope
內訌	内讧	nèi hòng	internal strife
內詳	内详	nèi xiáng	name and address of the sender enclosed/details inside
內貿	内贸	nèi mào	domestic trade
內賈德	内贾德	Nèi jiǎ dé	Mahmoud Ahmadinejad (1956-), Iranian fundamentalist politician, president of Iran 2005-2013/abbr. for 艾哈邁迪內賈德|艾哈迈迪内贾德
內賓	内宾	nèi bīn	guest from the same country/internal or domestic visitor (as opposed to international guest 外賓|外宾)
內質網	内质网	nèi zhì wǎng	endoplasmic reticulum (ER)
內購	内购	nèi gòu	buying direct from your company at preferential prices/(gaming) in-app purchase
內踝	内踝	nèi huái	medial malleolus
內部	内部	nèi bù	interior/inside (part, section)/internal
內部事務	内部事务	nèi bù shì wù	internal affairs
內部矛盾	内部矛盾	nèi bù máo dùn	internal contradiction
內部網	内部网	nèi bù wǎng	intranet
內部鬥爭	内部斗争	nèi bù dòu zhēng	internal power struggle
內鄉	内乡	Nèi xiāng	Neixiang county in Nanyang 南陽|南阳[Nán yáng], Henan
內鄉縣	内乡县	Nèi xiāng xiàn	Neixiang county in Nanyang 南陽|南阳[Nán yáng], Henan
內酯	内酯	nèi zhǐ	lactone
內酰胺酶	内酰胺酶	nèi xiān àn méi	beta-lactamase (a bacterial inhibitor)
內銷	内销	nèi xiāo	to sell in the domestic market/domestic market
內門	内门	Nèi mén	Neimen township in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
內門鄉	内门乡	Nèi mén xiāng	Neimen township in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
內閣	内阁	nèi gé	(government) cabinet
內閣總理大臣	内阁总理大臣	Nèi gé Zǒng lǐ Dà chén	formal title of the Japanese prime minister
內院	内院	nèi yuàn	inner courtyard (in a courtyard house)
內陸	内陆	nèi lù	inland/interior
內陸國	内陆国	nèi lù guó	landlocked country
內陸河	内陆河	nèi lù hé	inland river/river draining to inland sea
內需	内需	nèi xū	domestic demand
內飾	内饰	nèi shì	interior decor
內鬥	内斗	nèi dòu	internal strife/power struggle/(of members of an organization) to fight each other
內鬨	内哄	nèi hòng	variant of 內訌|内讧[nèi hòng]
