	Pinyin	Definition	Radical	Stroke count	HSK level	General Standard#	Frequency rank
尝	cháng	taste; experience, experiment	小 42.6	9	4	1476	1621
厌	yàn	dislike, detest, reject; satiate	厂 27.4	6	4	386	1633
脏	zàng	internal organs, viscera; dirty	肉 130.6	10	4	1998	1634
幽	yōu	quiet, secluded, tranquil; dark	幺 52.6	9	4	1524	1636
丢	diū	discard	一 1.5	6	4	447	1639
泉	quán	spring, fountain; wealth, money	水 85.5	9	4	1572	1641
祝	zhù	pray for happiness or blessings	示 113.5	9	4	1712	1651
陪	péi	accompany, be with, keep company	阜 170.8	10	4	2139	1664
贺	hè	congratulate; send present	貝 154.5	9	4	1744	1690
琴	qín	Chinese lute or guitar	玉 96.8	12	4	2501	1701
恼	nǎo	angered, filled with hate	心 61.6	9	4	1691	1704
敲	qiāo	strike, beat, pound, hammer; rap	攴 66.10	14	4	3140	1732
暖	nuǎn	warm, genial	日 72.9	13	4	2906	1745
糖	táng	sugar; candy; sweets	米 119.10	16	4	3374	1746
擦	cā	wipe, scrub, rub, scour; brush	手 64.14	17	4	3389	1761
肤	fū	skin; superficial, shallow	肉 130.4	8	4	1180	1790
肚	dù	belly; abdomen; bowels	肉 130.3	7	4	805	1800
赢	yíng	win; surplus, gain, profit	亠 8.15	17	4	3427	1836
址	zhǐ	site, location, land for house	土 32.4	7	4	623	1848
悔	huǐ	repent, show remorse, regret	心 61.7	10	4	2094	1853
邀	yāo	invite, welcome; meet, intercept	辵 162.13	16	4	3362	1854
羽	yǔ	feather, plume; wings; rad. 124	羽 124.0	6	4	585	1865
盐	yán	salt	皿 108.5	10	4	1790	1885
傅	fù	tutor, teacher; assist; surname	人 9.10	12	4	2691	1887
帅	shuài	commander, commander-in-chief	巾 50.2	5	4	233	1888
扔	rēng	throw, hurl; throw away, cast	手 64.2	5	4	203	1905
傲	ào	proud, haughty, overbearing	人 9.11	12	4	2690	1960
拾	shí	pick up, collect, tidy up; accounting form of the numeral ten	手 64.6	9	4	1386	1961
填	tián	fill in, fill up; make good	土 32.10	13	4	2834	1970
扮	bàn	dress up; dress up as	手 64.4	7	4	636	1974
愉	yú	pleasant, delightful; please	心 61.9	12	4	2777	1982
慕	mù	long for, desire; admire	心 61.11	14	4	3066	1990
秒	miǎo	beard of grain or corn; a second	禾 115.4	9	4	1547	2028
塑	sù	model in clay, sculpt; plastics	土 32.10	13	4	3001	2038
羞	xiū	disgrace, shame; ashamed; shy	羊 123.5	10	4	2049	2048
盒	hé	small box or case; casket	皿 108.6	11	4	2348	2067
棵	kē	numerary adjunct for trees	木 75.8	12	4	2571	2108
谅	liàng	excuse, forgive; guess, presume	言 149.8	10	4	2125	2120
葡	pú	grapes	艸 140.9	12	4	2552	2130
厨	chú	kitchen; closet; cupboard	厂 27.10	12	4	2587	2132
鸭	yā	duck; Anas species (various)	鳥 196.5	10	4	1892	2133
谊	yì	friendship; appropriate, suitable	言 149.8	10	4	2128	2136
歉	qiàn	deficient, lacking, insufficient	欠 76.10	14	4	3155	2149
赚	zhuàn	make money, earn; gain, profit	貝 154.10	14	4	3112	2182
萄	táo	grapes	艸 140.8	11	4	2208	2210
脾	pí	spleen, pancreas; disposition	肉 130.8	12	4	2713	2223
懒	lǎn	lazy, languid, listless	心 61.13	16	4	3380	2230
骄	jiāo	spirited horse; haughty	馬 187.6	9	4	1756	2248
聘	pìn	engage, employ; betroth	耳 128.7	13	4	2845	2253
巾	jīn	kerchief; towel; turban; KangXi radical number 50	巾 50.0	3	4	40	2281
堵	dǔ	wall; stop, prevent; stop up	土 32.9	11	4	2161	2284
棒	bàng	stick, club, truncheon; hit	木 75.8	12	4	2562	2288
硕	shuò	great, eminent; large, big	石 112.6	11	4	2241	2304
戚	qī	relative; be related to; sad	戈 62.7	11	4	2239	2316
笨	bèn	foolish, stupid, dull; awkward	竹 118.5	11	4	2317	2323
泼	pō	pour, splash, water, sprinkle	水 85.5	8	4	1262	2327
郊	jiāo	suburbs; waste land, open spaces	邑 163.6	8	4	1218	2351
饼	bǐng	rice-cakes, biscuits	食 184.6	9	4	1614	2359
咳	hāi	cough	口 30.6	9	4	1513	2373
桶	tǒng	pail, bucket, tub; cask, keg	木 75.7	11	4	2230	2411
辣	là	peppery, pungent, hot; cruel	辛 160.7	14	4	3148	2420
膊	bó	shoulders, upper arms	肉 130.10	14	4	3133	2440
趟	tàng	time, occasion; take journey	走 156.8	15	4	3195	2457
匙	shi	spoon; surname	匕 21.9	11	4	2259	2476
